
Simulation, Energy, Runtime
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_2_LS_64.txt,92.423146,0.059396,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_2_LS_64.txt,237.660157,0.174671,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_2_LS_64.txt,97.279011,0.064955,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_2_LS_64.txt,672.847494,0.513528,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_4_LS_64.txt,125.269367,0.082692,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_4_LS_64.txt,92.755466,0.059396,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_4_LS_64.txt,238.727494,0.174482,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_4_LS_64.txt,97.977684,0.064926,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_4_LS_64.txt,676.707265,0.513271,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_128.txt,154.289876,0.084543,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_128.txt,110.920490,0.059099,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_128.txt,211.746560,0.129180,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_128.txt,121.704878,0.066747,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_128.txt,532.633545,0.340068,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_16.txt,84.737336,0.110184,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_16.txt,49.095598,0.061015,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_16.txt,362.677656,0.490200,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_16.txt,56.954948,0.072004,
